Index,Unnamed: 0,Geography,state,county,tract,GEOID,Total_Households,Total_Population,Median_Household_Income,Uninsured_Rate,Limited_English_Proficiency_Rate,No_Vehicle_Rate,No_Internet_Rate,Rent_as_Income_Percentage,latitude,longitude,Common State County FIPS Code,HPSA Designation Date,HPSA Score,HPSA Status Code
32,32,"Census Tract 42, Jefferson County, Alabama",01,073,004200,01073004200,889,1432,32550,0,98.39,6.75,39.93,31.7,33.500744314366976,-86.82713535,01073,9/6/24,3,D
33,33,"Census Tract 47.01, Jefferson County, Alabama",01,073,004701,01073004701,2096,3276,47581,1.61,95.27,4.44,3.48,26.8,33.50754672507073,-86.78371329,01073,9/6/24,3,D
34,34,"Census Tract 47.02, Jefferson County, Alabama",01,073,004702,01073004702,1639,3116,89236,0,95.38,0.43,1.22,26.4,33.51210750649117,-86.76948186,01073,9/6/24,3,D
35,35,"Census Tract 48, Jefferson County, Alabama",01,073,004800,01073004800,1188,1879,97727,0,98.72,0,6.48,25.2,33.49896877550463,-86.78255942,01073,9/6/24,3,D
36,36,"Census Tract 49.01, Jefferson County, Alabama",01,073,004901,01073004901,670,890,35435,0.45,98.09,0.6,9.1,27.7,33.497133625458225,-86.79176315,01073,9/6/24,3,D
37,37,"Census Tract 49.02, Jefferson County, Alabama",01,073,004902,01073004902,1901,3194,38050,0,98.34,0.37,6.42,26.4,33.49357797902713,-86.80109115,01073,9/6/24,3,D
38,38,"Census Tract 50, Jefferson County, Alabama",01,073,005000,01073005000,1633,3392,49922,0,95.05,1.53,4.59,31.8,33.48672136771411,-86.81727224,01073,9/6/24,3,D
39,39,"Census Tract 51.01, Jefferson County, Alabama",01,073,005101,01073005101,287,869,14089,0,85.62,2.44,10.45,44.3,33.49459191620967,-86.83476064,01073,9/6/24,3,D
40,40,"Census Tract 51.03, Jefferson County, Alabama",01,073,005103,01073005103,1322,3458,40699,0.52,91.38,2.72,16.41,33,33.48572559030823,-86.83274312,01073,9/6/24,3,D
41,41,"Census Tract 51.04, Jefferson County, Alabama",01,073,005104,01073005104,1367,2487,37995,0.82,98.51,0.66,6.44,30.7,33.47253758,-86.83465668,01073,9/6/24,3,D
42,42,"Census Tract 52, Jefferson County, Alabama",01,073,005200,01073005200,1462,4103,32625,0,91.59,4.24,19.22,38.4,33.48063412848021,-86.85089559,01073,9/6/24,3,D
43,43,"Census Tract 53.02, Jefferson County, Alabama",01,073,005302,01073005302,1461,3715,67996,1.17,96.39,0.68,6.98,22.1,33.57663235786138,-86.69649839,01073,9/6/24,3,D
44,44,"Census Tract 55, Jefferson County, Alabama",01,073,005500,01073005500,700,1633,26436,0,93.88,5.43,29.14,32.1,33.57086951273806,-86.80045738,01073,9/6/24,3,D
45,45,"Census Tract 56, Jefferson County, Alabama",01,073,005600,01073005600,2140,4161,64825,0,96.52,0.56,3.69,17.4,33.52039024373088,-86.72661558,01073,9/6/24,3,D
46,46,"Census Tract 57.01, Jefferson County, Alabama",01,073,005701,01073005701,836,1933,40000,0,95.45,13.76,26.67,38.7,33.46269355155218,-86.89021343,01073,9/6/24,3,D
47,47,"Census Tract 57.02, Jefferson County, Alabama",01,073,005702,01073005702,1330,2859,28297,3.05,96.05,5.11,30.45,46.1,33.46985920473238,-86.87430807,01073,9/6/24,3,D
48,48,"Census Tract 58, Jefferson County, Alabama",01,073,005800,01073005800,1992,3670,41397,0.62,94.11,0,4.42,29,33.47760332936666,-86.81483407,01073,9/6/24,3,D
49,49,"Census Tract 59.03, Jefferson County, Alabama",01,073,005903,01073005903,1930,5323,62027,0,94.48,2.28,11.24,26.8,33.597491389231585,-86.67603578,01073,9/6/24,3,D
50,50,"Census Tract 59.05, Jefferson County, Alabama",01,073,005905,01073005905,1948,6816,50865,0.54,93.88,2.57,13.19,26.6,33.604551577071646,-86.70065118,01073,9/6/24,3,D
51,51,"Census Tract 59.07, Jefferson County, Alabama",01,073,005907,01073005907,864,2901,51912,0.55,98.62,0.58,3.47,51,33.614632248819625,-86.66895109,01073,9/6/24,3,D
52,52,"Census Tract 59.08, Jefferson County, Alabama",01,073,005908,01073005908,1366,3220,35714,0.86,94.25,0.59,15.3,34.7,33.62223415622229,-86.67894211,01073,9/6/24,3,D
53,53,"Census Tract 59.09, Jefferson County, Alabama",01,073,005909,01073005909,786,2085,53700,0.34,92.71,0.25,7.25,28.6,33.61196448475531,-86.72081526,01073,9/6/24,3,D
54,54,"Census Tract 59.10, Jefferson County, Alabama",01,073,005910,01073005910,2185,5563,52298,1.73,94.34,11.76,5.31,40.4,33.62951246014295,-86.71797098,01073,9/6/24,3,D
55,55,"Census Tract 105, Jefferson County, Alabama",01,073,010500,01073010500,511,1187,33641,2.78,95.03,16.63,12.13,14.7,33.42955559966259,-86.91797202,01073,9/6/24,3,D
56,56,"Census Tract 107.01, Jefferson County, Alabama",01,073,010701,01073010701,573,1541,71875,1.48,86.7,2.79,8.73,30.2,33.47760246997581,-86.8082205,01073,9/6/24,3,D
57,57,"Census Tract 107.06, Jefferson County, Alabama",01,073,010706,01073010706,1976,4489,69726,2.05,92.85,0,2.02,29.3,33.45040085114441,-86.83405359,01073,9/6/24,3,D
58,58,"Census Tract 108.01, Jefferson County, Alabama",01,073,010801,01073010801,3108,7540,117153,1.76,88.45,0.87,1.54,22.5,33.50099060991648,-86.76019665,01073,9/6/24,3,D
59,59,"Census Tract 108.03, Jefferson County, Alabama",01,073,010803,01073010803,2774,6679,87451,0.57,98.19,0.61,8.62,28.3,33.51384635157024,-86.71471501,01073,9/6/24,3,D
60,60,"Census Tract 112.07, Jefferson County, Alabama",01,073,011207,01073011207,1760,5080,47690,2.55,96.54,1.31,11.25,32.1,33.66400013624397,-86.67327109,01073,9/6/24,3,D
61,61,"Census Tract 112.09, Jefferson County, Alabama",01,073,011209,01073011209,1025,2746,37917,4.52,90.28,1.95,5.95,25.6,33.65525932,-86.69963309,01073,9/6/24,3,D
62,62,"Census Tract 112.10, Jefferson County, Alabama",01,073,011210,01073011210,1386,3266,38415,3.54,96.17,0,11.04,51,33.668908340605356,-86.70415805,01073,9/6/24,3,D
63,63,"Census Tract 118.03, Jefferson County, Alabama",01,073,011803,01073011803,1551,4155,39101,1.26,88.01,3.42,9.67,45.8,33.62910485727449,-86.69502312,01073,9/6/24,3,D
64,64,"Census Tract 118.04, Jefferson County, Alabama",01,073,011804,01073011804,1114,2967,38319,1.13,91.81,1.89,14.45,32.3,33.64532292965769,-86.69582058,01073,9/6/24,3,D
65,65,"Census Tract 119.04, Jefferson County, Alabama",01,073,011904,01073011904,877,2274,49712,0,94.28,4.79,28.51,31.3,33.593009174232726,-86.74195585,01073,9/6/24,3,D
66,66,"Census Tract 120.01, Jefferson County, Alabama",01,073,012001,01073012001,1649,4002,65281,0.2,97.23,8.37,17.1,23.9,33.59851043781885,-86.87907863,01073,9/6/24,3,D
67,67,"Census Tract 123.02, Jefferson County, Alabama",01,073,012302,01073012302,1405,4506,76875,0.44,95.94,6.9,10.04,17.6,33.53948172,-87.06416643,01073,9/6/24,3,D
68,68,"Census Tract 124.01, Jefferson County, Alabama",01,073,012401,01073012401,1355,3328,66382,0.98,97.12,0,13.58,42.2,33.56450831429625,-86.88525874,01073,9/6/24,3,D
69,69,"Census Tract 124.02, Jefferson County, Alabama",01,073,012402,01073012402,1182,2660,39539,1.04,91.05,8.54,14.04,40.2,33.56092317,-86.91337001,01073,9/6/24,3,D
70,70,"Census Tract 125, Jefferson County, Alabama",01,073,012500,01073012500,1535,4422,46444,1.1,90.75,1.63,18.7,29.1,33.537488558489436,-86.95174429,01073,9/6/24,3,D
71,71,"Census Tract 126.02, Jefferson County, Alabama",01,073,012602,01073012602,1385,3078,39656,0,87.52,0.87,19.71,32.3,33.56563446674305,-86.67266783,01073,9/6/24,3,D
72,72,"Census Tract 127.03, Jefferson County, Alabama",01,073,012703,01073012703,2679,6668,151827,0.15,92.68,0,3.14,22.7,33.47460590290229,-86.67696643,01073,9/6/24,3,D
73,73,"Census Tract 127.04, Jefferson County, Alabama",01,073,012704,01073012704,906,2668,93472,0,95.39,3.42,8.61,14.4,33.508901364652246,-86.60944352,01073,9/6/24,3,D
74,74,"Census Tract 129.07, Jefferson County, Alabama",01,073,012907,01073012907,1977,4738,64859,0.77,91.41,1.62,5.67,36.2,33.399714337195924,-86.77022061,01073,9/6/24,3,D
75,75,"Census Tract 129.08, Jefferson County, Alabama",01,073,012908,01073012908,1996,5007,41863,1.07,93.93,0,10.82,34.5,33.39833676095914,-86.79807464,01073,9/6/24,3,D
76,76,"Census Tract 129.10, Jefferson County, Alabama",01,073,012910,01073012910,2177,4176,81131,0,91.88,1.15,2.89,22.8,33.42636338608973,-86.73237522,01073,9/6/24,3,D
77,77,"Census Tract 129.13, Jefferson County, Alabama",01,073,012913,01073012913,1906,5534,56316,1.24,89.63,0,2.78,29.2,33.37446463067983,-86.78972738,01073,9/6/24,3,D
78,78,"Census Tract 130.02, Jefferson County, Alabama",01,073,013002,01073013002,854,1832,24814,1.41,92.74,3.04,21.55,32.9,33.46603782189237,-86.85664943,01073,9/6/24,3,D
79,79,"Census Tract 131, Jefferson County, Alabama",01,073,013100,01073013100,1489,3860,28670,0.95,91.87,3.9,25.12,44.2,33.44809174972212,-86.88922852,01073,9/6/24,3,D
80,80,"Census Tract 133, Jefferson County, Alabama",01,073,013300,01073013300,1230,3171,38750,1.43,97.86,1.46,22.36,31.3,33.436661037662965,-86.92920583,01073,9/6/24,3,D
81,81,"Census Tract 139.01, Jefferson County, Alabama",01,073,013901,01073013901,556,1405,52206,0.37,94.45,0,16.91,27.9,33.47534092368664,-86.94810973,01073,9/6/24,3,D
82,82,"Census Tract 144.04, Jefferson County, Alabama",01,073,014404,01073014404,2567,6600,84890,1.2,92.95,1.48,2.45,27.6,33.43282612401145,-86.82132172,01073,9/6/24,3,D
83,83,"Census Tract 144.05, Jefferson County, Alabama",01,073,014405,01073014405,1765,4482,68083,0.75,92.82,0.74,2.21,27.8,33.421709222232174,-86.82748417,01073,9/6/24,3,D
84,84,"Census Tract 144.06, Jefferson County, Alabama",01,073,014406,01073014406,2247,6070,122154,0,94.91,0,2.76,19.3,33.40348747766828,-86.83027449,01073,9/6/24,3,D
85,85,"Census Tract 144.08, Jefferson County, Alabama",01,073,014408,01073014408,1687,3779,55442,0.4,86.64,2.55,5.22,29.5,33.37140301587967,-86.81103424,01073,9/6/24,3,D
86,86,"Census Tract 144.09, Jefferson County, Alabama",01,073,014409,01073014409,1212,2980,93333,0,96.17,0,7.34,31,33.39403951513037,-86.81444686,01073,9/6/24,3,D
87,87,"Census Tract 144.10, Jefferson County, Alabama",01,073,014410,01073014410,1968,4892,113444,1.11,93.09,0,0.36,19.9,33.35007461930306,-86.84407619,01073,9/6/24,3,D
88,88,"Census Tract 144.12, Jefferson County, Alabama",01,073,014412,01073014412,1714,4625,114435,0.22,89.9,1.17,3.56,21.8,33.40199043719231,-86.85036478,01073,9/6/24,3,D
89,89,"Census Tract 3.01, Madison County, Alabama",01,089,000301,01089000301,1543,4160,35435,2.83,92.28,3.5,14.58,36.8,34.78303725047038,-86.5898427,01089,9/18/20,15,D
90,90,"Census Tract 3.02, Madison County, Alabama",01,089,000302,01089000302,1592,4322,31996,0.67,90.33,0.82,21.73,51,34.78232137413352,-86.60770426,01089,9/18/20,15,D
91,91,"Census Tract 4.03, Madison County, Alabama",01,089,000403,01089000403,2058,5147,53561,2.09,94.48,2.72,16.13,31.4,34.80559867,-86.61919377,01089,9/18/20,15,D
92,92,"Census Tract 5.01, Madison County, Alabama",01,089,000501,01089000501,742,2466,46842,0.04,92.9,0.4,8.63,24.1,34.775226850918266,-86.63533796,01089,9/18/20,15,D
93,93,"Census Tract 5.02, Madison County, Alabama",01,089,000502,01089000502,854,2365,53188,0,91.46,1.05,16.28,28.6,34.767927824256795,-86.63470981,01089,9/18/20,15,D
94,94,"Census Tract 5.03, Madison County, Alabama",01,089,000503,01089000503,767,1856,36831,0,96.93,4.17,15.12,42.7,34.76289118,-86.62848627,01089,9/18/20,15,D
95,95,"Census Tract 6.01, Madison County, Alabama",01,089,000601,01089000601,545,1371,52946,0,97.59,1.28,9.17,38.9,34.75385278327917,-86.6344925,01089,9/18/20,15,D
96,96,"Census Tract 6.02, Madison County, Alabama",01,089,000602,01089000602,730,1977,38824,0,97.42,2.33,15.75,51,34.75470305303022,-86.6194323,01089,9/18/20,15,D
97,97,"Census Tract 7.01, Madison County, Alabama",01,089,000701,01089000701,1152,2617,30806,0.95,87.96,1.22,9.03,36.5,34.767208144277845,-86.6022149,01089,9/18/20,15,D
98,98,"Census Tract 7.02, Madison County, Alabama",01,089,000702,01089000702,1292,2682,35349,0,99.55,0.77,22.83,31.5,34.75440945293518,-86.60285652,01089,9/18/20,15,D
99,99,"Census Tract 9.01, Madison County, Alabama",01,089,000901,01089000901,2002,4517,73884,0,95.64,5.84,11.74,26.7,34.76013819282204,-86.54613048,01089,9/18/20,15,D
100,100,"Census Tract 9.02, Madison County, Alabama",01,089,000902,01089000902,1299,2596,67288,1.48,99.19,0,3.31,21.2,34.745063098776654,-86.55370806,01089,9/18/20,15,D
101,101,"Census Tract 10, Madison County, Alabama",01,089,001000,01089001000,1700,2935,66750,0.78,97.51,2.06,7.24,21.6,34.742206816086856,-86.57315279,01089,9/18/20,15,D
102,102,"Census Tract 12, Madison County, Alabama",01,089,001200,01089001200,1387,2919,18266,1.22,84.86,1.73,24.87,46.4,34.733755477494434,-86.60534809,01089,9/18/20,15,D
103,103,"Census Tract 13.01, Madison County, Alabama",01,089,001301,01089001301,1888,3454,25769,0,97.02,0,25.11,36.9,34.74158816239578,-86.63768475,01089,9/18/20,15,D
104,104,"Census Tract 13.02, Madison County, Alabama",01,089,001302,01089001302,1103,2389,39144,0.38,93.34,0.36,10.52,30.1,34.74359321498754,-86.62107331,01089,9/18/20,15,D
105,105,"Census Tract 14.01, Madison County, Alabama",01,089,001401,01089001401,1194,2553,93281,1.43,90.83,1.01,4.69,21.2,34.74173891094436,-86.70348767,01089,9/18/20,15,D
106,106,"Census Tract 15, Madison County, Alabama",01,089,001500,01089001500,1764,5368,41184,1.31,98.45,1.7,2.78,25,34.72758213388053,-86.62867451,01089,9/18/20,15,D
107,107,"Census Tract 17, Madison County, Alabama",01,089,001700,01089001700,863,1948,130855,0,91.02,0.7,1.39,22.9,34.72746647731155,-86.56735118,01089,9/18/20,15,D
108,108,"Census Tract 18.01, Madison County, Alabama",01,089,001801,01089001801,1534,3682,112308,0.99,93.81,0,3.32,18.3,34.731891332278956,-86.54105718,01089,9/18/20,15,D
109,109,"Census Tract 19.01, Madison County, Alabama",01,089,001901,01089001901,1556,3494,111544,0.72,93.76,0.58,12.53,27.9,34.70961517,-86.55092145,01089,9/18/20,15,D
110,110,"Census Tract 19.02, Madison County, Alabama",01,089,001902,01089001902,979,2031,104688,3.72,98.72,0,3.27,29,34.683021895073445,-86.53356476,01089,9/18/20,15,D
111,111,"Census Tract 20, Madison County, Alabama",01,089,002000,01089002000,1030,2127,91786,0,84.67,0.49,5.34,22.3,34.71195313415721,-86.58267768,01089,9/18/20,15,D
112,112,"Census Tract 21, Madison County, Alabama",01,089,002100,01089002100,1376,3074,21755,0.36,82.99,1.16,10.76,31.9,34.71779866360881,-86.60613761,01089,9/18/20,15,D
113,113,"Census Tract 22, Madison County, Alabama",01,089,002200,01089002200,822,1833,32542,0,97.16,2.68,9.98,29.2,34.716548303871086,-86.6298715,01089,9/18/20,15,D
114,114,"Census Tract 23, Madison County, Alabama",01,089,002300,01089002300,2457,4912,31114,0.34,95.83,3.79,15.1,36.5,34.70550025652474,-86.61824791,01089,9/18/20,15,D
115,115,"Census Tract 24, Madison County, Alabama",01,089,002400,01089002400,2046,4100,29139,0.58,87.1,3.42,9.97,26.6,34.690897009222454,-86.61864621,01089,9/18/20,15,D
116,116,"Census Tract 25.01, Madison County, Alabama",01,089,002501,01089002501,1564,2837,23022,3.05,91.12,0.64,9.34,31.4,34.69975011,-86.59718044,01089,9/18/20,15,D
117,117,"Census Tract 25.02, Madison County, Alabama",01,089,002502,01089002502,1411,3288,33832,0,96.11,0,3.9,26.1,34.68031165,-86.59511425,01089,9/18/20,15,D
118,118,"Census Tract 26, Madison County, Alabama",01,089,002600,01089002600,2110,3898,62682,1.48,94.92,0,7.54,22.3,34.69152672182092,-86.57508301,01089,9/18/20,15,D
119,119,"Census Tract 27.01, Madison County, Alabama",01,089,002701,01089002701,1504,2755,58629,0,96.88,0.8,6.91,29.1,34.66140805581907,-86.56319821,01089,9/18/20,15,D
120,120,"Census Tract 27.21, Madison County, Alabama",01,089,002721,01089002721,1872,4518,85333,1.61,94.8,1.23,5.66,32.1,34.659016294184966,-86.54780894,01089,9/18/20,15,D
121,121,"Census Tract 27.22, Madison County, Alabama",01,089,002722,01089002722,1268,2936,115648,0,93.9,0,5.76,22.6,34.65514167416027,-86.52786453,01089,9/18/20,15,D
122,122,"Census Tract 28.01, Madison County, Alabama",01,089,002801,01089002801,2626,5186,50862,0,96.93,0,7.35,30.1,34.65304726114892,-86.58398563,01089,9/18/20,15,D
123,123,"Census Tract 29.11, Madison County, Alabama",01,089,002911,01089002911,1824,4297,76833,1.31,92.58,1.26,2.63,29.9,34.63657083635714,-86.55263604,01089,9/18/20,15,D
124,124,"Census Tract 29.12, Madison County, Alabama",01,089,002912,01089002912,969,2298,105677,0,94.91,0.52,3.51,19.1,34.63511190661706,-86.52717879,01089,9/18/20,15,D
125,125,"Census Tract 29.22, Madison County, Alabama",01,089,002922,01089002922,1592,3782,99091,0.4,95.27,0.44,1.7,18.3,34.612702868280564,-86.53292382,01089,9/18/20,15,D
126,126,"Census Tract 30, Madison County, Alabama",01,089,003000,01089003000,1162,3042,25313,0.89,85.31,1.55,27.8,32.3,34.75075839377511,-86.5878849,01089,9/18/20,15,D
127,127,"Census Tract 31, Madison County, Alabama",01,089,003100,01089003100,1590,5859,69500,0,99.2,0.75,20.69,26.4,34.72993055711056,-86.58594915,01089,9/18/20,15,D
128,128,"Census Tract 105.02, Madison County, Alabama",01,089,010502,01089010502,1326,4243,91458,0,95.66,2.04,6.11,28.7,34.85167390735053,-86.68343728,01089,9/18/20,15,D
129,129,"Census Tract 106.12, Madison County, Alabama",01,089,010612,01089010612,2772,6601,76117,0,94.52,0,6.67,28.1,34.76197829117003,-86.75375477,01089,9/18/20,15,D
130,130,"Census Tract 106.23, Madison County, Alabama",01,089,010623,01089010623,2741,8124,112288,0.19,94.1,0.99,1.86,13,34.79030766301747,-86.73155195,01089,9/18/20,15,D
131,131,"Census Tract 2, Mobile County, Alabama",01,097,000200,01097000200,697,1151,37663,1.6,100,0.57,34.72,26.4,30.690949072126003,-88.04776896,01097,2/2/22,14,D
132,132,"Census Tract 4.01, Mobile County, Alabama",01,097,000401,01097000401,521,1432,47604,0,92.67,2.5,24.95,34.1,30.69908921751001,-88.05888142,01097,2/2/22,14,D
133,133,"Census Tract 4.02, Mobile County, Alabama",01,097,000402,01097000402,358,682,17348,0,83.87,0,31.28,32.6,30.70432970936608,-88.05210368,01097,2/2/22,14,D
134,134,"Census Tract 5, Mobile County, Alabama",01,097,000500,01097000500,520,1513,19630,1.05,98.08,10.19,36.35,37.3,30.70556164328612,-88.06636454,01097,2/2/22,14,D
135,135,"Census Tract 6, Mobile County, Alabama",01,097,000600,01097000600,508,1522,32870,1.88,94.09,4.13,26.77,31,30.712105151916777,-88.07594644,01097,2/2/22,14,D
136,136,"Census Tract 7.01, Mobile County, Alabama",01,097,000701,01097000701,671,1760,33393,0.23,98.07,2.68,45.6,51,30.712933817878596,-88.08616773,01097,2/2/22,14,D
137,137,"Census Tract 7.02, Mobile County, Alabama",01,097,000702,01097000702,990,2475,37065,0.32,93.29,7.07,45.96,44.8,30.72121891674662,-88.09383609,01097,2/2/22,14,D
138,138,"Census Tract 9.01, Mobile County, Alabama",01,097,000901,01097000901,639,1469,48897,1.02,87.2,2.03,12.21,32.6,30.691985043495475,-88.07384646,01097,2/2/22,14,D
139,139,"Census Tract 9.02, Mobile County, Alabama",01,097,000902,01097000902,820,1786,67381,0,94.62,1.83,7.93,28.8,30.683405076871885,-88.07439707,01097,2/2/22,14,D
140,140,"Census Tract 9.03, Mobile County, Alabama",01,097,000903,01097000903,582,1603,47727,0.25,95.82,2.58,11.68,30.3,30.67739064426822,-88.07349002,01097,2/2/22,14,D
141,141,"Census Tract 10.01, Mobile County, Alabama",01,097,001001,01097001001,764,1537,47396,0,95.58,2.49,21.86,28.7,30.686793154144436,-88.06015536,01097,2/2/22,14,D
142,142,"Census Tract 10.02, Mobile County, Alabama",01,097,001002,01097001002,718,1513,53500,0,99.07,1.53,13.79,26.4,30.67789682654697,-88.06075214,01097,2/2/22,14,D
143,143,"Census Tract 11, Mobile County, Alabama",01,097,001100,01097001100,1077,2342,31503,0,94.11,8.17,40.95,30.9,30.67788373344992,-88.04897899,01097,2/2/22,14,D
144,144,"Census Tract 12, Mobile County, Alabama",01,097,001200,01097001200,549,2600,22125,0.78,98.23,0,56.65,29.4,30.705104685622345,-88.03399784,01097,2/2/22,14,D
145,145,"Census Tract 13.02, Mobile County, Alabama",01,097,001302,01097001302,1011,2650,23860,0,92.94,1.98,42.04,51,30.666859349428652,-88.06339852,01097,2/2/22,14,D
146,146,"Census Tract 14, Mobile County, Alabama",01,097,001400,01097001400,652,1762,35294,0,99.09,1.84,43.56,51,30.66820359131759,-88.07695952,01097,2/2/22,14,D
